mental_state,model,n_trials,n_correct,accuracy
distaste,gemini-3-flash,8,5,0.625
distaste,gpt-5,2,2,1.0
distaste,gpt-5-mini,2,1,0.5
distracted,claude-opus-4-5,2,1,0.5
distracted,gemini-3-flash,8,4,0.5
distracted,gpt-5,2,0,0.0
distracted,gpt-5-mini,2,1,0.5
distraught,gemini-3-flash,6,6,1.0
disturbed,claude-opus-4-5,2,2,1.0
disturbed,gemini-3-flash,8,6,0.75
disturbed,gpt-5,2,2,1.0
disturbed,gpt-5-mini,2,2,1.0
doubtful,claude-opus-4-5,2,2,1.0
doubtful,gemini-3-flash,8,8,1.0
doubtful,gpt-5,2,2,1.0
doubtful,gpt-5-mini,2,2,1.0
downtrodden,claude-opus-4-5,2,2,1.0
downtrodden,gemini-3-flash,8,8,1.0
downtrodden,gpt-5,2,2,1.0
downtrodden,gpt-5-mini,2,2,1.0
dreading,claude-opus-4-5,1,1,1.0
dreading,gemini-3-flash,7,4,0.5714285714285714
dreading,gpt-5,1,1,1.0
dreading,gpt-5-mini,1,0,0.0
dreamy,claude-opus-4-5,2,2,1.0
dreamy,gemini-3-flash,8,8,1.0
dreamy,gpt-5,2,2,1.0
dreamy,gpt-5-mini,2,2,1.0
easy-going,claude-opus-4-5,2,2,1.0
easy-going,gemini-3-flash,8,8,1.0
easy-going,gpt-5,2,2,1.0
easy-going,gpt-5-mini,2,2,1.0
embarrassed,claude-opus-4-5,2,1,0.5
embarrassed,gemini-3-flash,8,6,0.75
embarrassed,gpt-5,2,2,1.0
embarrassed,gpt-5-mini,2,1,0.5
empathic,claude-opus-4-5,1,1,1.0
empathic,gemini-3-flash,7,7,1.0
empathic,gpt-5,1,1,1.0
empathic,gpt-5-mini,1,0,0.0
empty,gemini-3-flash,6,5,0.8333333333333334
encouraging,claude-opus-4-5,2,2,1.0
encouraging,gemini-3-flash,8,6,0.75
encouraging,gpt-5,2,1,0.5
encouraging,gpt-5-mini,2,2,1.0
enjoying,claude-opus-4-5,1,1,1.0
enjoying,gemini-3-flash,7,6,0.8571428571428571
enjoying,gpt-5,1,1,1.0
enjoying,gpt-5-mini,1,1,1.0
enthusiastic,gemini-3-flash,6,6,1.0
enticed,claude-opus-4-5,1,1,1.0
enticed,gemini-3-flash,7,7,1.0
enticed,gpt-5,1,1,1.0
enticed,gpt-5-mini,1,0,0.0
entrancing,claude-opus-4-5,1,0,0.0
entrancing,gemini-3-flash,7,6,0.8571428571428571
entrancing,gpt-5,1,0,0.0
entrancing,gpt-5-mini,1,1,1.0
exasperated,gemini-3-flash,6,6,1.0
excited,claude-opus-4-5,1,1,1.0
excited,gemini-3-flash,7,7,1.0
excited,gpt-5,1,1,1.0
excited,gpt-5-mini,1,1,1.0
exhilarated,claude-opus-4-5,1,1,1.0
exhilarated,gemini-3-flash,7,7,1.0
exhilarated,gpt-5,1,1,1.0
exhilarated,gpt-5-mini,1,1,1.0
exonerated,claude-opus-4-5,2,1,0.5
exonerated,gemini-3-flash,8,6,0.75
exonerated,gpt-5,2,1,0.5
exonerated,gpt-5-mini,2,1,0.5
expectant,claude-opus-4-5,1,1,1.0
expectant,gemini-3-flash,7,7,1.0
expectant,gpt-5,1,1,1.0
expectant,gpt-5-mini,1,1,1.0
exploited,gemini-3-flash,6,3,0.5
explosive,claude-opus-4-5,1,0,0.0
explosive,gemini-3-flash,7,6,0.8571428571428571
explosive,gpt-5,1,0,0.0
explosive,gpt-5-mini,1,0,0.0
fantasising,claude-opus-4-5,5,4,0.8
fantasising,gemini-3-flash,17,16,0.9411764705882353
fantasising,gpt-5,5,2,0.4
fantasising,gpt-5-mini,5,4,0.8
fascinated,claude-opus-4-5,1,0,0.0
fascinated,gemini-3-flash,7,6,0.8571428571428571
fascinated,gpt-5,1,1,1.0
fascinated,gpt-5-mini,1,0,0.0
fawning,claude-opus-4-5,2,0,0.0
fawning,gemini-3-flash,8,4,0.5
fawning,gpt-5,2,1,0.5
fawning,gpt-5-mini,2,0,0.0
fine,gemini-3-flash,6,5,0.8333333333333334
flattered,claude-opus-4-5,1,1,1.0
flattered,gemini-3-flash,7,6,0.8571428571428571
flattered,gpt-5,1,1,1.0
flattered,gpt-5-mini,1,1,1.0
flattering,claude-opus-4-5,2,1,0.5
flattering,gemini-3-flash,8,5,0.625
flattering,gpt-5,2,0,0.0
flattering,gpt-5-mini,2,0,0.0
flirtatious,claude-opus-4-5,1,1,1.0
flirtatious,gemini-3-flash,7,7,1.0
flirtatious,gpt-5,1,1,1.0
flirtatious,gpt-5-mini,1,1,1.0
flustered,claude-opus-4-5,2,0,0.0
flustered,gemini-3-flash,8,5,0.625
flustered,gpt-5,2,0,0.0
flustered,gpt-5-mini,2,1,0.5
fond,claude-opus-4-5,3,2,0.6666666666666666
fond,gemini-3-flash,9,8,0.8888888888888888
fond,gpt-5,3,3,1.0
fond,gpt-5-mini,3,3,1.0
forgiven,claude-opus-4-5,1,0,0.0
forgiven,gemini-3-flash,7,0,0.0
forgiven,gpt-5,1,0,0.0
forgiven,gpt-5-mini,1,0,0.0
forgiving,claude-opus-4-5,2,0,0.0
forgiving,gemini-3-flash,8,6,0.75
forgiving,gpt-5,2,0,0.0
forgiving,gpt-5-mini,2,0,0.0
frantic,claude-opus-4-5,1,1,1.0
frantic,gemini-3-flash,7,7,1.0
frantic,gpt-5,1,1,1.0
frantic,gpt-5-mini,1,1,1.0
friendly,claude-opus-4-5,1,1,1.0
friendly,gemini-3-flash,7,7,1.0
friendly,gpt-5,1,1,1.0
friendly,gpt-5-mini,1,1,1.0
frustrated,claude-opus-4-5,1,0,0.0
frustrated,gemini-3-flash,7,6,0.8571428571428571
frustrated,gpt-5,1,1,1.0
frustrated,gpt-5-mini,1,1,1.0
furious,claude-opus-4-5,1,1,1.0
furious,gemini-3-flash,7,7,1.0
furious,gpt-5,1,1,1.0
furious,gpt-5-mini,1,1,1.0
giving,claude-opus-4-5,3,0,0.0
giving,gemini-3-flash,9,5,0.5555555555555556
giving,gpt-5,3,0,0.0
giving,gpt-5-mini,3,0,0.0
glad,claude-opus-4-5,2,2,1.0
glad,gemini-3-flash,8,4,0.5
glad,gpt-5,2,2,1.0
glad,gpt-5-mini,2,2,1.0
gleeful,claude-opus-4-5,2,1,0.5
gleeful,gemini-3-flash,8,5,0.625
gleeful,gpt-5,2,1,0.5
gleeful,gpt-5-mini,2,1,0.5
gloomy,claude-opus-4-5,2,2,1.0
gloomy,gemini-3-flash,8,8,1.0
gloomy,gpt-5,2,2,1.0
gloomy,gpt-5-mini,2,2,1.0
grateful,claude-opus-4-5,2,1,0.5
grateful,gemini-3-flash,8,7,0.875
grateful,gpt-5,2,1,0.5
grateful,gpt-5-mini,2,1,0.5
grave,claude-opus-4-5,1,1,1.0
grave,gemini-3-flash,7,7,1.0
grave,gpt-5,1,1,1.0
grave,gpt-5-mini,1,0,0.0
greedy,claude-opus-4-5,1,0,0.0
greedy,gemini-3-flash,7,4,0.5714285714285714
greedy,gpt-5,1,0,0.0
greedy,gpt-5-mini,1,0,0.0
grieving,claude-opus-4-5,2,2,1.0
grieving,gemini-3-flash,8,8,1.0
grieving,gpt-5,2,2,1.0
grieving,gpt-5-mini,2,2,1.0
grumpy,claude-opus-4-5,1,1,1.0
grumpy,gemini-3-flash,7,7,1.0
grumpy,gpt-5,1,1,1.0
grumpy,gpt-5-mini,1,1,1.0
guarded,claude-opus-4-5,2,1,0.5
guarded,gemini-3-flash,8,4,0.5
guarded,gpt-5,2,2,1.0
guarded,gpt-5-mini,2,1,0.5
guilty,claude-opus-4-5,2,2,1.0
guilty,gemini-3-flash,8,6,0.75
guilty,gpt-5,2,2,1.0
guilty,gpt-5-mini,2,1,0.5
happy,claude-opus-4-5,3,3,1.0
happy,gemini-3-flash,9,6,0.6666666666666666
happy,gpt-5,3,3,1.0
happy,gpt-5-mini,3,3,1.0
hated,claude-opus-4-5,1,0,0.0
hated,gemini-3-flash,7,3,0.42857142857142855
hated,gpt-5,1,0,0.0
hated,gpt-5-mini,1,0,0.0
hateful,claude-opus-4-5,2,2,1.0
hateful,gemini-3-flash,8,8,1.0
hateful,gpt-5,2,2,1.0
hateful,gpt-5-mini,2,2,1.0
haughty,claude-opus-4-5,1,0,0.0
haughty,gemini-3-flash,7,6,0.8571428571428571
haughty,gpt-5,1,1,1.0
haughty,gpt-5-mini,1,1,1.0
heartache,claude-opus-4-5,1,1,1.0
heartache,gemini-3-flash,7,7,1.0
heartache,gpt-5,1,1,1.0
heartache,gpt-5-mini,1,1,1.0
heartbroken,claude-opus-4-5,2,0,0.0
heartbroken,gemini-3-flash,8,8,1.0
heartbroken,gpt-5,2,2,1.0
heartbroken,gpt-5-mini,2,1,0.5
heated,claude-opus-4-5,2,0,0.0
heated,gemini-3-flash,8,7,0.875
heated,gpt-5,2,1,0.5
heated,gpt-5-mini,2,1,0.5
helpful,claude-opus-4-5,2,0,0.0
helpful,gemini-3-flash,8,5,0.625
helpful,gpt-5,2,0,0.0
helpful,gpt-5-mini,2,0,0.0
hesitant,claude-opus-4-5,1,1,1.0
hesitant,gemini-3-flash,7,6,0.8571428571428571
hesitant,gpt-5,1,1,1.0
hesitant,gpt-5-mini,1,1,1.0
homesick,claude-opus-4-5,3,3,1.0
homesick,gemini-3-flash,9,7,0.7777777777777778
homesick,gpt-5,3,1,0.3333333333333333
homesick,gpt-5-mini,3,2,0.6666666666666666
honest,gemini-3-flash,5,3,0.6
hopeful,claude-opus-4-5,1,1,1.0
hopeful,gemini-3-flash,6,4,0.6666666666666666
hopeful,gpt-5,1,1,1.0
hopeful,gpt-5-mini,1,1,1.0
horrified,claude-opus-4-5,1,1,1.0
horrified,gemini-3-flash,7,3,0.42857142857142855
horrified,gpt-5,1,0,0.0
horrified,gpt-5-mini,1,0,0.0
hostile,claude-opus-4-5,1,1,1.0
hostile,gemini-3-flash,7,7,1.0
hostile,gpt-5,1,1,1.0
hostile,gpt-5-mini,1,1,1.0
humble,claude-opus-4-5,1,0,0.0
humble,gemini-3-flash,7,4,0.5714285714285714
humble,gpt-5,1,0,0.0
humble,gpt-5-mini,1,0,0.0
humiliated,claude-opus-4-5,1,0,0.0
humiliated,gemini-3-flash,7,2,0.2857142857142857
humiliated,gpt-5-mini,1,1,1.0
humiliating,claude-opus-4-5,3,0,0.0
humiliating,gemini-3-flash,9,2,0.2222222222222222
humiliating,gpt-5,3,1,0.3333333333333333
humiliating,gpt-5-mini,3,1,0.3333333333333333
humoring,claude-opus-4-5,3,1,0.3333333333333333
humoring,gemini-3-flash,15,10,0.6666666666666666
humoring,gpt-5,3,2,0.6666666666666666
humoring,gpt-5-mini,3,3,1.0
hurt,claude-opus-4-5,1,0,0.0
hurt,gemini-3-flash,7,5,0.7142857142857143
hurt,gpt-5,1,0,0.0
hurt,gpt-5-mini,1,1,1.0
hysterical,claude-opus-4-5,2,2,1.0
hysterical,gemini-3-flash,12,10,0.8333333333333334
hysterical,gpt-5,2,2,1.0
hysterical,gpt-5-mini,2,2,1.0
ignored,claude-opus-4-5,1,0,0.0
ignored,gemini-3-flash,7,3,0.42857142857142855
ignored,gpt-5,1,0,0.0
ignored,gpt-5-mini,1,0,0.0
ignoring,claude-opus-4-5,1,1,1.0
ignoring,gemini-3-flash,7,2,0.2857142857142857
ignoring,gpt-5,1,1,1.0
ignoring,gpt-5-mini,1,1,1.0
impatient,gemini-3-flash,5,5,1.0
impressed,claude-opus-4-5,2,2,1.0
impressed,gemini-3-flash,8,7,0.875
impressed,gpt-5,2,2,1.0
impressed,gpt-5-mini,2,1,0.5
inadequate,claude-opus-4-5,2,2,1.0
inadequate,gemini-3-flash,8,7,0.875
inadequate,gpt-5,2,2,1.0
inadequate,gpt-5-mini,2,2,1.0
inattentive,claude-opus-4-5,1,1,1.0
inattentive,gemini-3-flash,6,4,0.6666666666666666
inattentive,gpt-5,1,1,1.0
inattentive,gpt-5-mini,1,1,1.0
included,claude-opus-4-5,1,0,0.0
included,gemini-3-flash,7,6,0.8571428571428571
included,gpt-5,1,0,0.0
included,gpt-5-mini,1,0,0.0
incredulous,claude-opus-4-5,2,2,1.0
incredulous,gemini-3-flash,8,8,1.0
incredulous,gpt-5,2,2,1.0
incredulous,gpt-5-mini,2,2,1.0
indifferent,claude-opus-4-5,1,0,0.0
indifferent,gemini-3-flash,7,7,1.0
indifferent,gpt-5,1,1,1.0
indifferent,gpt-5-mini,1,1,1.0
indignant,claude-opus-4-5,2,1,0.5
indignant,gemini-3-flash,8,6,0.75
indignant,gpt-5,2,2,1.0
indignant,gpt-5-mini,2,2,1.0
infuriated,claude-opus-4-5,2,0,0.0
infuriated,gemini-3-flash,8,7,0.875
infuriated,gpt-5,2,1,0.5
infuriated,gpt-5-mini,2,1,0.5
insecure,claude-opus-4-5,1,0,0.0
insecure,gemini-3-flash,7,4,0.5714285714285714
insecure,gpt-5,1,0,0.0
insecure,gpt-5-mini,1,0,0.0
insincere,claude-opus-4-5,1,1,1.0
insincere,gemini-3-flash,7,7,1.0
insincere,gpt-5,1,1,1.0
insincere,gpt-5-mini,1,1,1.0
insouciant,claude-opus-4-5,3,1,0.3333333333333333
insouciant,gemini-3-flash,9,8,0.8888888888888888
insouciant,gpt-5,3,2,0.6666666666666666
insouciant,gpt-5-mini,3,3,1.0
interested,claude-opus-4-5,1,1,1.0
interested,gemini-3-flash,7,6,0.8571428571428571
interested,gpt-5,1,0,0.0
interested,gpt-5-mini,1,1,1.0
intimate,claude-opus-4-5,3,1,0.3333333333333333
intimate,gemini-3-flash,9,9,1.0
intimate,gpt-5,3,2,0.6666666666666666
intimate,gpt-5-mini,3,2,0.6666666666666666
intimidated,claude-opus-4-5,1,0,0.0
intimidated,gemini-3-flash,7,4,0.5714285714285714
intimidated,gpt-5,1,1,1.0
intimidated,gpt-5-mini,1,1,1.0
invigorated,gemini-3-flash,6,6,1.0
jaded,claude-opus-4-5,1,1,1.0
jaded,gemini-3-flash,7,6,0.8571428571428571
jaded,gpt-5,1,1,1.0
jaded,gpt-5-mini,1,1,1.0
jealous,claude-opus-4-5,1,0,0.0
jealous,gemini-3-flash,7,7,1.0
jealous,gpt-5,1,1,1.0
jealous,gpt-5-mini,1,1,1.0
joking,claude-opus-4-5,1,1,1.0
joking,gemini-3-flash,7,6,0.8571428571428571
joking,gpt-5,1,1,1.0
joking,gpt-5-mini,1,1,1.0
jubilant,claude-opus-4-5,1,1,1.0
jubilant,gemini-3-flash,7,7,1.0
jubilant,gpt-5,1,1,1.0
jubilant,gpt-5-mini,1,1,1.0
judging,claude-opus-4-5,1,1,1.0
judging,gemini-3-flash,7,6,0.8571428571428571
judging,gpt-5,1,1,1.0
judging,gpt-5-mini,1,1,1.0
judgmental,claude-opus-4-5,1,1,1.0
judgmental,gemini-3-flash,7,7,1.0
judgmental,gpt-5,1,1,1.0
judgmental,gpt-5-mini,1,1,1.0
jumpy,claude-opus-4-5,2,1,0.5
jumpy,gemini-3-flash,8,2,0.25
jumpy,gpt-5,2,1,0.5
jumpy,gpt-5-mini,2,1,0.5
keen,claude-opus-4-5,1,0,0.0
keen,gemini-3-flash,7,6,0.8571428571428571
keen,gpt-5,1,0,0.0
keen,gpt-5-mini,1,1,1.0
kind,gemini-3-flash,6,5,0.8333333333333334
knowing,gemini-3-flash,6,6,1.0
liked,claude-opus-4-5,2,2,1.0
liked,gemini-3-flash,7,6,0.8571428571428571
liked,gpt-5,2,2,1.0
liked,gpt-5-mini,2,2,1.0
liking,claude-opus-4-5,2,2,1.0
liking,gemini-3-flash,8,4,0.5
liking,gpt-5,2,2,1.0
liking,gpt-5-mini,2,2,1.0
listening,claude-opus-4-5,1,0,0.0
listening,gemini-3-flash,7,3,0.42857142857142855
listening,gpt-5,1,0,0.0
listening,gpt-5-mini,1,1,1.0
listless,claude-opus-4-5,1,1,1.0
listless,gemini-3-flash,7,7,1.0
listless,gpt-5,1,1,1.0
listless,gpt-5-mini,1,1,1.0
lively,claude-opus-4-5,1,1,1.0
lively,gemini-3-flash,7,7,1.0
lively,gpt-5,1,1,1.0
lively,gpt-5-mini,1,1,1.0
lonely,claude-opus-4-5,1,1,1.0
lonely,gemini-3-flash,7,6,0.8571428571428571
lonely,gpt-5,1,1,1.0
lonely,gpt-5-mini,1,1,1.0
lost,gemini-3-flash,6,6,1.0
loving,claude-opus-4-5,1,0,0.0
loving,gemini-3-flash,7,7,1.0
loving,gpt-5,1,1,1.0
loving,gpt-5-mini,1,1,1.0
lucky,claude-opus-4-5,1,1,1.0
lucky,gemini-3-flash,7,6,0.8571428571428571
lucky,gpt-5,1,1,1.0
lucky,gpt-5-mini,1,1,1.0
lured,claude-opus-4-5,1,0,0.0
lured,gemini-3-flash,6,1,0.16666666666666666
lured,gpt-5,1,0,0.0
lured,gpt-5-mini,1,0,0.0
luring,claude-opus-4-5,2,2,1.0
luring,gemini-3-flash,8,8,1.0
luring,gpt-5,2,2,1.0
luring,gpt-5-mini,2,2,1.0
lying,claude-opus-4-5,2,0,0.0
lying,gemini-3-flash,8,5,0.625
lying,gpt-5,2,0,0.0
lying,gpt-5-mini,2,0,0.0
maudlin,claude-opus-4-5,1,1,1.0
maudlin,gemini-3-flash,7,6,0.8571428571428571
maudlin,gpt-5,1,1,1.0
maudlin,gpt-5-mini,1,0,0.0
mean,claude-opus-4-5,1,1,1.0
mean,gemini-3-flash,7,7,1.0
mean,gpt-5,1,1,1.0
mean,gpt-5-mini,1,1,1.0
merry,gemini-3-flash,6,6,1.0
miffed,claude-opus-4-5,2,2,1.0
miffed,gemini-3-flash,8,7,0.875
miffed,gpt-5,2,2,1.0
miffed,gpt-5-mini,2,2,1.0
mischievous,claude-opus-4-5,2,2,1.0
mischievous,gemini-3-flash,8,8,1.0
mischievous,gpt-5,2,2,1.0
mischievous,gpt-5-mini,2,2,1.0
moaning,claude-opus-4-5,2,1,0.5
moaning,gemini-3-flash,8,3,0.375
moaning,gpt-5,2,1,0.5
moaning,gpt-5-mini,2,1,0.5
modest,claude-opus-4-5,2,1,0.5
modest,gemini-3-flash,8,7,0.875
modest,gpt-5,2,2,1.0
modest,gpt-5-mini,2,2,1.0
moody,claude-opus-4-5,1,1,1.0
moody,gemini-3-flash,7,6,0.8571428571428571
moody,gpt-5,1,1,1.0
moody,gpt-5-mini,1,1,1.0
mortified,claude-opus-4-5,2,1,0.5
mortified,gemini-3-flash,8,5,0.625
mortified,gpt-5,2,2,1.0
mortified,gpt-5-mini,2,1,0.5
mysterious,claude-opus-4-5,2,0,0.0
mysterious,gemini-3-flash,8,4,0.5
mysterious,gpt-5,2,0,0.0
mysterious,gpt-5-mini,2,0,0.0
mystified,claude-opus-4-5,1,1,1.0
mystified,gemini-3-flash,7,6,0.8571428571428571
mystified,gpt-5,1,0,0.0
mystified,gpt-5-mini,1,1,1.0
needed,claude-opus-4-5,2,0,0.0
needed,gemini-3-flash,8,4,0.5
needed,gpt-5,2,1,0.5
needed,gpt-5-mini,2,0,0.0
needled,claude-opus-4-5,1,0,0.0
needled,gemini-3-flash,7,5,0.7142857142857143
needled,gpt-5,1,1,1.0
needled,gpt-5-mini,1,0,0.0
needy,claude-opus-4-5,1,1,1.0
needy,gemini-3-flash,7,4,0.5714285714285714
needy,gpt-5,1,1,1.0
needy,gpt-5-mini,1,1,1.0
neglected,claude-opus-4-5,1,1,1.0
neglected,gemini-3-flash,7,6,0.8571428571428571
neglected,gpt-5,1,1,1.0
neglected,gpt-5-mini,1,1,1.0
nervous,claude-opus-4-5,1,1,1.0
nervous,gemini-3-flash,7,4,0.5714285714285714
nervous,gpt-5,1,1,1.0
nervous,gpt-5-mini,1,1,1.0
nostalgic,claude-opus-4-5,1,0,0.0
nostalgic,gemini-3-flash,6,5,0.8333333333333334
nostalgic,gpt-5,1,1,1.0
nostalgic,gpt-5-mini,1,1,1.0
offended,claude-opus-4-5,2,0,0.0
offended,gemini-3-flash,8,4,0.5
offended,gpt-5,2,1,0.5
offended,gpt-5-mini,2,2,1.0
oppressive,claude-opus-4-5,1,0,0.0
oppressive,gemini-3-flash,7,4,0.5714285714285714
oppressive,gpt-5,1,0,0.0
oppressive,gpt-5-mini,1,0,0.0
overcome,claude-opus-4-5,2,1,0.5
overcome,gemini-3-flash,8,8,1.0
overcome,gpt-5,2,2,1.0
overcome,gpt-5-mini,2,2,1.0
overjoyed,claude-opus-4-5,1,0,0.0
overjoyed,gemini-3-flash,7,7,1.0
overjoyed,gpt-5,1,0,0.0
overjoyed,gpt-5-mini,1,1,1.0
overwrought,claude-opus-4-5,2,1,0.5
overwrought,gemini-3-flash,7,6,0.8571428571428571
overwrought,gpt-5,2,2,1.0
overwrought,gpt-5-mini,2,2,1.0
panicked,claude-opus-4-5,1,0,0.0
panicked,gemini-3-flash,7,5,0.7142857142857143
panicked,gpt-5,1,1,1.0
panicked,gpt-5-mini,1,1,1.0
passionate,claude-opus-4-5,2,0,0.0
passionate,gemini-3-flash,8,5,0.625
passionate,gpt-5,2,0,0.0
passionate,gpt-5-mini,2,0,0.0
passive,claude-opus-4-5,2,2,1.0
passive,gemini-3-flash,8,4,0.5
passive,gpt-5,2,2,1.0
passive,gpt-5-mini,2,2,1.0
patient,claude-opus-4-5,1,1,1.0
patient,gemini-3-flash,7,7,1.0
patient,gpt-5,1,1,1.0
patient,gpt-5-mini,1,1,1.0
patronised,claude-opus-4-5,2,0,0.0
patronised,gemini-3-flash,14,9,0.6428571428571429
patronised,gpt-5,2,1,0.5
patronised,gpt-5-mini,2,1,0.5
persuaded,claude-opus-4-5,1,1,1.0
persuaded,gemini-3-flash,7,6,0.8571428571428571
persuaded,gpt-5,1,1,1.0
persuaded,gpt-5-mini,1,0,0.0
pestered,gemini-3-flash,6,6,1.0
pining,claude-opus-4-5,2,1,0.5
pining,gemini-3-flash,8,6,0.75
pining,gpt-5,2,2,1.0
pining,gpt-5-mini,2,2,1.0
pitiless,gemini-3-flash,6,6,1.0
pitying,claude-opus-4-5,1,1,1.0
pitying,gemini-3-flash,7,6,0.8571428571428571
pitying,gpt-5,1,1,1.0
pitying,gpt-5-mini,1,1,1.0
playful,claude-opus-4-5,2,2,1.0
playful,gemini-3-flash,8,7,0.875
playful,gpt-5,2,2,1.0
playful,gpt-5-mini,2,2,1.0
pleasure,claude-opus-4-5,1,1,1.0
pleasure,gemini-3-flash,7,6,0.8571428571428571
pleasure,gpt-5,1,1,1.0
pleasure,gpt-5-mini,1,1,1.0
polite,claude-opus-4-5,2,1,0.5
polite,gemini-3-flash,8,7,0.875
polite,gpt-5,2,2,1.0
polite,gpt-5-mini,2,2,1.0
positive,claude-opus-4-5,2,2,1.0
positive,gemini-3-flash,8,8,1.0
positive,gpt-5,2,2,1.0
positive,gpt-5-mini,2,2,1.0
praised,claude-opus-4-5,1,1,1.0
praised,gemini-3-flash,7,7,1.0
praised,gpt-5,1,1,1.0
praised,gpt-5-mini,1,1,1.0
prepared,claude-opus-4-5,2,1,0.5
prepared,gemini-3-flash,8,8,1.0
prepared,gpt-5,2,1,0.5
prepared,gpt-5-mini,2,1,0.5
proud,claude-opus-4-5,2,1,0.5
proud,gemini-3-flash,8,7,0.875
proud,gpt-5,2,2,1.0
proud,gpt-5-mini,2,2,1.0
provoked,claude-opus-4-5,2,1,0.5
provoked,gemini-3-flash,8,4,0.5
provoked,gpt-5,2,1,0.5
provoked,gpt-5-mini,2,0,0.0
pushy,claude-opus-4-5,2,0,0.0
pushy,gemini-3-flash,8,7,0.875
pushy,gpt-5,2,1,0.5
pushy,gpt-5-mini,2,1,0.5
puzzled,claude-opus-4-5,1,0,0.0
puzzled,gemini-3-flash,7,6,0.8571428571428571
puzzled,gpt-5,1,1,1.0
puzzled,gpt-5-mini,1,1,1.0
questioning,claude-opus-4-5,2,2,1.0
questioning,gemini-3-flash,7,7,1.0
questioning,gpt-5,2,2,1.0
questioning,gpt-5-mini,2,2,1.0
reassured,claude-opus-4-5,2,2,1.0
reassured,gemini-3-flash,8,6,0.75
reassured,gpt-5,2,2,1.0
reassured,gpt-5-mini,2,2,1.0
refreshed,claude-opus-4-5,1,0,0.0
refreshed,gemini-3-flash,7,6,0.8571428571428571
refreshed,gpt-5,1,0,0.0
refreshed,gpt-5-mini,1,0,0.0
rejecting,claude-opus-4-5,1,0,0.0
rejecting,gemini-3-flash,7,7,1.0
rejecting,gpt-5,1,0,0.0
rejecting,gpt-5-mini,1,0,0.0
relaxed,claude-opus-4-5,3,3,1.0
relaxed,gemini-3-flash,9,9,1.0
relaxed,gpt-5,3,3,1.0
relaxed,gpt-5-mini,3,3,1.0
relieved,claude-opus-4-5,1,0,0.0
relieved,gemini-3-flash,7,4,0.5714285714285714
relieved,gpt-5,1,0,0.0
relieved,gpt-5-mini,1,0,0.0
reluctant,claude-opus-4-5,1,1,1.0
reluctant,gemini-3-flash,7,6,0.8571428571428571
reluctant,gpt-5,1,1,1.0
reluctant,gpt-5-mini,1,1,1.0
remote,claude-opus-4-5,2,1,0.5
remote,gemini-3-flash,8,7,0.875
remote,gpt-5,2,1,0.5
remote,gpt-5-mini,2,1,0.5
resentful,claude-opus-4-5,1,0,0.0
resentful,gemini-3-flash,7,7,1.0
resentful,gpt-5,1,1,1.0
resentful,gpt-5-mini,1,1,1.0
resigned,claude-opus-4-5,1,0,0.0
resigned,gemini-3-flash,7,7,1.0
resigned,gpt-5,1,0,0.0
resigned,gpt-5-mini,1,1,1.0
respectful,claude-opus-4-5,1,1,1.0
respectful,gemini-3-flash,7,6,0.8571428571428571
respectful,gpt-5,1,1,1.0
respectful,gpt-5-mini,1,0,0.0
responsible,claude-opus-4-5,1,0,0.0
responsible,gemini-3-flash,7,6,0.8571428571428571
responsible,gpt-5,1,0,0.0
responsible,gpt-5-mini,1,0,0.0
restless,gemini-3-flash,6,6,1.0
revulsion,claude-opus-4-5,2,1,0.5
revulsion,gemini-3-flash,8,8,1.0
revulsion,gpt-5,2,2,1.0
revulsion,gpt-5-mini,2,2,1.0
rewarded,claude-opus-4-5,2,2,1.0
rewarded,gemini-3-flash,8,7,0.875
rewarded,gpt-5,2,2,1.0
rewarded,gpt-5-mini,2,2,1.0
romantic,gemini-3-flash,6,6,1.0
rude,claude-opus-4-5,1,1,1.0
rude,gemini-3-flash,7,6,0.8571428571428571
rude,gpt-5,1,1,1.0
rude,gpt-5-mini,1,1,1.0
ruffled,claude-opus-4-5,1,1,1.0
ruffled,gemini-3-flash,7,5,0.7142857142857143
ruffled,gpt-5,1,1,1.0
ruffled,gpt-5-mini,1,1,1.0
sad,claude-opus-4-5,2,2,1.0
sad,gemini-3-flash,8,8,1.0
sad,gpt-5,2,2,1.0
sad,gpt-5-mini,2,2,1.0
sadistic,claude-opus-4-5,1,0,0.0
sadistic,gemini-3-flash,7,6,0.8571428571428571
sadistic,gpt-5,1,0,0.0
sadistic,gpt-5-mini,1,0,0.0
safe,claude-opus-4-5,1,1,1.0
safe,gemini-3-flash,7,3,0.42857142857142855
safe,gpt-5,1,1,1.0
safe,gpt-5-mini,1,0,0.0
sang-froid,claude-opus-4-5,2,2,1.0
sang-froid,gemini-3-flash,8,8,1.0
sang-froid,gpt-5,2,1,0.5
sang-froid,gpt-5-mini,2,1,0.5
sarcastic,claude-opus-4-5,1,0,0.0
sarcastic,gemini-3-flash,7,6,0.8571428571428571
sarcastic,gpt-5,1,1,1.0
sarcastic,gpt-5-mini,1,0,0.0
scandalised,claude-opus-4-5,1,0,0.0
scandalised,gemini-3-flash,11,9,0.8181818181818182
scandalised,gpt-5,1,0,0.0
scandalised,gpt-5-mini,1,0,0.0
scolding,claude-opus-4-5,3,2,0.6666666666666666
scolding,gemini-3-flash,9,7,0.7777777777777778
scolding,gpt-5,3,1,0.3333333333333333
scolding,gpt-5-mini,3,2,0.6666666666666666
